Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mtu02020:Two-component system	21	3.0434782608695654	1.1499125060127827E-4	RV1030, RV1031, RV1164, RV2220, RV2332, RV2443, RV1553, RV3523, RV1554, RV1323, RV3546, RV1867, RV0928, RV0838, RV0859, RV0983, RV0982, RV0981, RV0243, RV1161, RV0491	165	55	1030	2.3834710743801653	0.010637815167836906	0.010694186305918878	0.010234221303513766
KEGG_PATHWAY	mtu00620:Pyruvate metabolism	17	2.4637681159420293	0.0017610058802913985	RV2241, RV2332, RV1553, RV3523, RV1554, RV1323, RV3546, RV1867, RV0859, RV0408, RV1617, RV0768, RV0843, RV0211, RV0243, RV0694, RV0462	165	48	1030	2.2108585858585856	0.15118831007034816	0.08188677343355003	0.07836476167296723
GOTERM_BP_DIRECT	GO:0006635~fatty acid beta-oxidation	12	1.7391304347826086	0.004333097755892729	RV3550, RV1472, RV0468, RV3523, RV3522, RV1323, RV2831, RV0860, RV3546, RV0243, RV1867, RV0859	383	28	2228	2.4930995897053334	0.7475587088423985	1.0	1.0
KEGG_PATHWAY	mtu00071:Fatty acid degradation	17	2.4637681159420293	0.004467765751423748	RV3550, RV2187, RV1472, RV3774, RV1530, RV3523, RV1323, RV1862, RV2831, RV3546, RV1867, RV0859, RV0768, RV0675, RV0860, RV0243, RV3086	165	52	1030	2.0407925407925407	0.34060542269941874	0.1385007382941362	0.13254371729223788
KEGG_PATHWAY	mtu00650:Butanoate metabolism	17	2.4637681159420293	0.008216541688035674	RV3550, RV1472, RV3774, RV1553, RV3523, RV1554, RV1323, RV2831, RV3546, RV3318, RV3317, RV1867, RV0859, RV0468, RV0675, RV0860, RV0243	165	55	1030	1.9294765840220387	0.5357327706110353	0.19103459424682942	0.18281805255879374
GOTERM_BP_DIRECT	GO:0006633~fatty acid biosynthetic process	15	2.1739130434782608	0.014679938840999829	RV2187, RV1484, RV3089, RV2930, RV2933, RV1206, RV3826, RV2935, RV1814, RV1925, RV0404, RV0035, RV0033, RV0098, RV0130	383	45	2228	1.9390774586597044	0.9907952485181449	1.0	1.0
KEGG_PATHWAY	mtu00310:Lysine degradation	13	1.884057971014493	0.016757614345595764	RV3550, RV1472, RV3774, RV3523, RV1323, RV2831, RV3546, RV1867, RV0859, RV0768, RV0675, RV0860, RV0243	165	40	1030	2.028787878787879	0.7923006948522316	0.25974302235673435	0.2485712794596705
KEGG_PATHWAY	mtu00362:Benzoate degradation	13	1.884057971014493	0.016757614345595764	RV3550, RV1472, RV3774, RV3523, RV1323, RV2831, RV3546, RV1867, RV0859, RV0468, RV0675, RV0860, RV0243	165	40	1030	2.028787878787879	0.7923006948522316	0.25974302235673435	0.2485712794596705
UP_KEYWORDS	Manganese	15	2.1739130434782608	0.018407987979938596	RV1384, RV1341, RV1264, RV2631, RV1302, RV2009, RV0938, RV1408, RV3908, RV0555, RV0951, RV0467, RV0982, RV0211, RV3262	686	45	3901	1.8955296404275994	0.9761145117301085	1.0	1.0
GOTERM_MF_DIRECT	GO:0003988~acetyl-CoA C-acyltransferase activity	7	1.0144927536231882	0.019318219436938552	RV3523, RV3522, RV1323, RV3546, RV0243, RV1867, RV0859	410	14	2439	2.9743902439024392	0.998957937828116	1.0	1.0
KEGG_PATHWAY	mtu00072:Synthesis and degradation of ketone bodies	6	0.8695652173913043	0.019723014684732903	RV3523, RV1323, RV3546, RV0243, RV1867, RV0859	165	11	1030	3.40495867768595	0.8431664384239955	0.2620343379543086	0.2507640438487469
UP_KEYWORDS	Fatty acid metabolism	15	2.1739130434782608	0.026844224987903363	RV2187, RV1483, RV1472, RV1550, RV1484, RV3089, RV2245, RV2930, RV2933, RV3826, RV2935, RV0404, RV0468, RV0860, RV0130	686	47	3901	1.8148688046647228	0.9957863815213155	1.0	1.0
GOTERM_BP_DIRECT	GO:0001101~response to acid chemical	6	0.8695652173913043	0.027149084458430825	RV3088, RV3089, RV0467, RV3086, RV1161, RV3085	383	11	2228	3.173035841443152	0.9998375668948284	1.0	1.0
GOTERM_MF_DIRECT	GO:0003985~acetyl-CoA C-acetyltransferase activity	5	0.7246376811594203	0.031064184468779166	RV3523, RV1323, RV0243, RV1867, RV0859	410	8	2439	3.717987804878049	0.9999850085618336	1.0	1.0
KEGG_PATHWAY	mtu01120:Microbial metabolism in diverse environments	43	6.231884057971015	0.031641236897217324	RV3550, RV2241, RV3571, RV1472, RV2220, RV3774, RV1530, RV1553, RV1554, RV3318, RV3317, RV0859, RV1617, RV0896, RV0951, RV0675, RV0211, RV0252, RV3086, RV3262, RV1161, RV2054, RV2296, RV1164, RV1286, RV3523, RV1862, RV1323, RV2831, RV3546, RV2579, RV1867, RV0408, RV1408, RV1848, RV0768, RV0843, RV0468, RV0467, RV0860, RV0243, RV0462, RV1093	165	205	1030	1.3093865484109388	0.9497223820269585	0.35479146470988027	0.3395316167653693
INTERPRO	IPR003399:Mammalian cell entry-related	9	1.3043478260869565	0.03220518748464053	RV0170, RV0589, RV1971, RV0593, RV0592, RV0174, RV0173, RV1968, RV1969	578	23	3355	2.2713254099593803	0.9999999999997776	1.0	1.0
INTERPRO	IPR005693:Mammalian cell entry	9	1.3043478260869565	0.03220518748464053	RV0170, RV0589, RV1971, RV0593, RV0592, RV0174, RV0173, RV1968, RV1969	578	23	3355	2.2713254099593803	0.9999999999997776	1.0	1.0
INTERPRO	IPR011060:Ribulose-phosphate binding barrel	5	0.7246376811594203	0.03391752031910459	RV1385, RV1611, RV1603, RV1605, RV1408	578	8	3355	3.6278114186851216	0.999999999999954	1.0	1.0
GOTERM_MF_DIRECT	GO:0003857~3-hydroxyacyl-CoA dehydrogenase activity	4	0.5797101449275363	0.03593056479746027	RV0468, RV3522, RV0860, RV0243	410	5	2439	4.759024390243902	0.9999974524271587	1.0	1.0
INTERPRO	IPR000873:AMP-dependent synthetase/ligase	13	1.884057971014493	0.03818176783477428	RV3561, RV2187, RV1550, RV3089, RV1683, RV1058, RV2930, RV1206, RV3826, RV1925, RV0119, RV0404, RV0035	578	41	3355	1.8404506709426955	0.9999999999999991	1.0	1.0
INTERPRO	IPR007138:Antibiotic biosynthesis monooxygenase	4	0.5797101449275363	0.03852959837449752	RV2557, RV0793, RV1117, RV3592	578	5	3355	4.6435986159169556	0.9999999999999993	1.0	1.0
UP_KEYWORDS	Repressor	12	1.7391304347826086	0.03942444169917307	RV3574, RV0678, RV2720, RV3357, RV3855, RV0586, RV2358, RV0981, RV2711, RV3744, RV2865, RV3849	686	36	3901	1.8955296404275996	0.9996917962566904	1.0	1.0
KEGG_PATHWAY	mtu00760:Nicotinate and nicotinamide metabolism	7	1.0144927536231882	0.040065877230353	RV1594, RV1595, RV0157, RV0156, RV3307, RV2713, RV1901	165	17	1030	2.570409982174688	0.9776923936345187	0.35479146470988027	0.3395316167653693
KEGG_PATHWAY	mtu00380:Tryptophan metabolism	13	1.884057971014493	0.041570232872987334	RV3550, RV1472, RV3774, RV3523, RV1323, RV2831, RV3546, RV1867, RV0859, RV0768, RV0675, RV0860, RV0243	165	45	1030	1.803367003367003	0.9807199874911608	0.35479146470988027	0.3395316167653693
