Category	Term	Count	%	PValue	Genes	ListTotal	PopHits	PopTotal	FoldEnrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005886~plasmamembrane	169	41.52334152334152	0.006626764134261859	RV1371|RV1493|RV2220|RV3794|RV3793|RV3798|RV2589|RV2989|RV2905|RV3719|RV0714|RV0955|RV0830|RV2191|RV2471|RV1140|RV3044|RV3045|RV1782|RV1144|RV1145|RV2873|RV2874|RV3841|RV3448|RV2998|RV1821|RV2999|RV1822|RV2637|RV1827|RV1829|RV0700|RV0667|RV0146|RV0386|RV2084|RV3691|RV1472|RV1473|RV2287|RV3254|RV2289|RV1476|RV3776|RV1751|RV1510|RV1479|RV1996|RV2601|RV3810|RV1997|RV1877|RV0859|RV0577|RV0332|RV0970|RV2290|RV1082|RV1084|RV1483|RV3145|RV1121|RV3386|RV2213|RV1003|RV1641|RV3269|RV1368|RV3789|RV3547|RV2339|RV3826|RV2616|RV0849|RV1529|RV0847|RV0967|RV0845|RV0167|RV2181|RV1094|RV1173|RV2780|RV3871|RV0081|RV1297|RV3870|RV1453|RV1731|RV3118|RV3910|RV1338|RV3911|RV1339|RV0917|RV2428|RV3519|RV0757|RV0873|RV0994|RV0079|RV0078|RV0194|RV2273|RV3121|RV0072|RV3089|RV3401|RV1983|RV3645|RV2953|RV1469|RV2713|RV1866|RV0905|RV1626|RV1901|RV2715|RV0501|RV0104|RV0500|RV0588|RV3090|RV3490|RV0064|RV1073|RV2241|RV2000|RV1275|RV1552|RV3850|RV1795|RV3577|RV2248|RV1798|RV1436|RV1832|RV2405|RV0939|RV1713|RV1438|RV2807|RV2928|RV0896|RV0895|RV0252|RV1161|RV0490|RV3065|RV1440|RV3067|RV3224|RV2893|RV3863|RV2930|RV3109|RV3628|RV0928|RV1609|RV0127|RV0126|RV0641|RV0123|RV0088|RV0087|RV0362|RV1170|RV1050	253	1455	2455	1.127079852763403	0.18083074726930937	0.13566544045719955	0.13566544045719955
UP_KEYWORDS	Signal	44	10.81081081081081	0.008614711680497232	RV0397A|RV3033|RV3330|RV1275|RV3477|RV3576|RV2289|RV3732|RV2301|RV1477|RV1478|RV2843|RV1974|RV3810|RV1677|RV1799|RV2905|RV0835|RV2929|RV0832|RV0237|RV0057|RV2290|RV3044|RV2672|RV3367|RV3388|RV3006|RV2873|RV3395A|RV1368|RV2138|RV3623|RV2999|RV1922|RV0906|RV1768|RV0928|RV0847|RV0109|RV0603|RV0124|RV0584|RV0063	406	290	3901	1.4578223203669103	0.7722479198771974	0.7447130397052169	0.7447130397052169
UP_KEYWORDS	Lipoprotein	19	4.668304668304668	0.008710094031639963	RV3044|RV1275|RV3576|RV3006|RV2873|RV1368|RV2138|RV1677|RV3623|RV1799|RV1228|RV2999|RV1922|RV0928|RV2905|RV0847|RV0835|RV0237|RV2290	406	96	3901	1.9016574302134646	0.775964445272739	0.7447130397052169	0.7447130397052169
GOTERM_CC_DIRECT	GO:0005618~cellwall	88	21.62162162162162	0.009044362697146638	RV2780|RV2220|RV3871|RV1297|RV3870|RV1453|RV3798|RV2302|RV3118|RV2428|RV1817|RV0316|RV0512|RV0951|RV0830|RV0873|RV0079|RV2191|RV0194|RV2471|RV3045|RV3089|RV1144|RV1782|RV2873|RV3841|RV3401|RV3448|RV2953|RV1821|RV2999|RV2713|RV1866|RV1867|RV0905|RV1626|RV1827|RV1829|RV0700|RV0667|RV0386|RV0064|RV3490|RV1073|RV3690|RV2241|RV2000|RV1473|RV3254|RV1275|RV3136|RV1477|RV2247|RV1478|RV1479|RV1996|RV2601|RV1997|RV1832|RV1436|RV1713|RV0859|RV0895|RV0058|RV0892|RV0252|RV1161|RV3143|RV3224|RV1442|RV2213|RV1289|RV3269|RV3863|RV1368|RV3547|RV2536|RV2339|RV1602|RV0928|RV0007|RV0246|RV0641|RV0002|RV3071|RV0122|RV0088|RV1094	253	685	2455	1.246588384639797	0.23857632177757204	0.13566544045719955	0.13566544045719955
INTERPRO	IPR000084:PE-PGRSfamily|N-terminal	17	4.176904176904177	0.01570315626348117	RV1195|RV1087|RV3367|RV1386|RV1430|RV3477|RV3388|RV2741|RV1983|RV1646|RV1768|RV3508|RV0109|RV0832|RV0124|RV1091|RV0297	342	89	3355	1.8738090544713843	0.9999260766588828	1.0	1.0
UP_KEYWORDS	Glycosidase	6	1.4742014742014742	0.03221517081420063	RV1210|RV0237|RV0126|RV3401|RV0584|RV0062	406	18	3901	3.2027914614121507	0.9963002149424248	1.0	1.0
GOTERM_BP_DIRECT	GO:0006355~regulationoftranscription|DNA-templated	24	5.896805896805897	0.03306262135713384	RV3066|RV2601A|RV0081|RV2132|RV1297|RV3334|RV3124|RV0064A|RV2069|RV2642|RV3855|RV2865|RV0918|RV2506|RV0748|RV1904|RV0967|RV0678|RV0232|RV0452|RV0078|RV0386|RV0196|RV0491	217	161	2228	1.5305263760483157	0.9992496797315966	1.0	1.0
GOTERM_MF_DIRECT	GO:0042802~identicalproteinbinding	4	0.9828009828009828	0.04531436829991104	RV1827|RV2589|RV3329|RV1568	231	9	2439	4.692640692640693	0.9999878119487865	1.0	1.0
GOTERM_MF_DIRECT	GO:0016620~oxidoreductaseactivity|actingonthealdehydeoroxogroupofdonors|NADorNADPasacceptor	3	0.7371007371007371	0.046747886082217284	RV2259|RV1731|RV1436	231	4	2439	7.918831168831169	0.9999915530952735	1.0	1.0
GOTERM_BP_DIRECT	GO:0009410~responsetoxenobioticstimulus	3	0.7371007371007371	0.049217561322605755	RV1221|RV2069|RV3911	217	4	2228	7.700460829493088	0.9999796123847112	1.0	1.0
