Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR000084:PE-PGRS family, N-terminal	17	5.6105610561056105	7.620268086117254E-4	RV1195, RV1087, RV3367, RV1386, RV1430, RV3477, RV3388, RV2741, RV1983, RV1646, RV1768, RV3508, RV0109, RV0832, RV0124, RV1091, RV0297	253	89	3355	2.5329750854909623	0.2887674531092139	0.3406259834494412	0.3406259834494412
GOTERM_BP_DIRECT	GO:0006355~regulation of transcription, DNA-templated	23	7.590759075907591	0.0013358426857369922	RV2601A, RV0081, RV2132, RV1297, RV3334, RV3124, RV0064A, RV2069, RV2642, RV3855, RV2865, RV0918, RV2506, RV0748, RV1904, RV0967, RV0678, RV0232, RV0452, RV0078, RV0386, RV0196, RV0491	157	161	2228	2.02729754322111	0.20327449692894994	0.22709325657528867	0.22709325657528867
UP_KEYWORDS	Signal	35	11.55115511551155	0.0077655432708649275	RV0397A, RV3033, RV3330, RV3477, RV3576, RV3732, RV1477, RV2843, RV3810, RV1799, RV2905, RV0835, RV0832, RV0237, RV0057, RV2290, RV3044, RV2672, RV3367, RV3388, RV3006, RV3395A, RV1368, RV3623, RV2999, RV1922, RV0906, RV1768, RV0928, RV0847, RV0109, RV0603, RV0124, RV0584, RV0063	302	290	3901	1.5589746517469742	0.6796029940651755	1.0	1.0
GOTERM_MF_DIRECT	GO:0003677~DNA binding	30	9.900990099009901	0.010479899304491731	RV0081, RV3871, RV3334, RV2069, RV3798, RV3855, RV2865, RV3911, RV2989, RV0757, RV0678, RV0078, RV0232, RV0452, RV2191, RV0670, RV0196, RV0491, RV2595, RV3188, RV0500A, RV1221, RV3124, RV3863, RV3744, RV0967, RV0667, RV0002, RV0386, RV2085	162	287	2439	1.5737514518002322	0.8690963378305084	1.0	1.0
UP_KEYWORDS	Lipoprotein	15	4.9504950495049505	0.014356508966657014	RV3044, RV3576, RV3006, RV1368, RV3623, RV1799, RV2999, RV1228, RV1922, RV0928, RV2905, RV0847, RV0835, RV0237, RV2290	302	96	3901	2.0183153973509933	0.8789125013565257	1.0	1.0
INTERPRO	IPR011991:Winged helix-turn-helix DNA-binding domain	16	5.2805280528052805	0.014924637397447104	RV0081, RV1221, RV3488, RV3124, RV2069, RV2642, RV3744, RV3911, RV1877, RV2989, RV1626, RV2618, RV0757, RV0678, RV0386, RV0491	253	109	3355	1.9465496609493418	0.9987953874809951	1.0	1.0
GOTERM_MF_DIRECT	GO:0016620~oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	3	0.9900990099009901	0.023786546906570272	RV2259, RV1731, RV1436	162	4	2439	11.291666666666666	0.9904028087974011	1.0	1.0
GOTERM_BP_DIRECT	GO:0009410~response to xenobiotic stimulus	3	0.9900990099009901	0.026612040213427373	RV1221, RV2069, RV3911	157	4	2228	10.643312101910826	0.989799654146305	1.0	1.0
UP_KEYWORDS	Transcription	23	7.590759075907591	0.03531720026925985	RV0081, RV1297, RV1221, RV3124, RV2069, RV2642, RV3855, RV3744, RV2865, RV3911, RV2989, RV2506, RV1626, RV0967, RV0757, RV0678, RV0667, RV0232, RV0452, RV0078, RV0386, RV0196, RV0491	302	191	3901	1.5554765784820221	0.9947502076031743	1.0	1.0
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	122	40.26402640264026	0.03617711265450774	RV1371, RV2220, RV3794, RV3798, RV2589, RV2989, RV2905, RV3719, RV0714, RV0830, RV2191, RV1140, RV3044, RV3045, RV1782, RV1145, RV2874, RV3841, RV3448, RV2998, RV2999, RV1822, RV2637, RV1827, RV0700, RV0667, RV0146, RV0386, RV3691, RV1473, RV2287, RV3254, RV3776, RV1510, RV1479, RV1996, RV3810, RV1997, RV1877, RV0859, RV0332, RV2290, RV1082, RV1483, RV3145, RV1121, RV3386, RV1003, RV1641, RV3269, RV1368, RV3789, RV2339, RV3826, RV2616, RV0847, RV0967, RV0167, RV2181, RV1094, RV1173, RV2780, RV3871, RV0081, RV1297, RV1453, RV1731, RV3911, RV1339, RV0917, RV2428, RV0757, RV0873, RV0079, RV0078, RV0194, RV3121, RV0072, RV1983, RV3645, RV1469, RV2713, RV1866, RV1626, RV1901, RV2715, RV0501, RV0104, RV3090, RV3490, RV1073, RV2241, RV2000, RV1552, RV3850, RV1795, RV3577, RV2248, RV1436, RV2807, RV2928, RV0896, RV0252, RV1161, RV0490, RV3065, RV1440, RV3067, RV3224, RV2893, RV3863, RV2930, RV3109, RV3628, RV0928, RV1609, RV0127, RV0126, RV0088, RV0362, RV1170, RV1050	185	1455	2455	1.1126962013559953	0.5715142279774208	0.4911247273265956	0.4911247273265956
KEGG_PATHWAY	mtu02020:Two-component system	8	2.6402640264026402	0.04149793071605652	RV0490, RV2220, RV1552, RV1867, RV0928, RV0859, RV0491, RV1161	63	55	1030	2.378066378066378	0.9527175528589774	1.0	1.0
UP_KEYWORDS	Transcription regulation	22	7.2607260726072615	0.047155727862913444	RV0081, RV1297, RV1221, RV3124, RV2069, RV2642, RV3855, RV3744, RV2865, RV3911, RV2989, RV2506, RV1626, RV0967, RV0757, RV0678, RV0232, RV0452, RV0078, RV0386, RV0196, RV0491	302	186	3901	1.5278430534786014	0.9991346308000233	1.0	1.0
