Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0019219~regulation of nucleobase-containing compound metabolic process	28	9.24092409240924	6.480601860943285E-4	RV2601A, RV0081, RV1297, RV3334, RV0064A, RV2069, RV2642, RV3855, RV2865, RV0918, RV3911, RV2989, RV2506, RV0757, RV0678, RV0078, RV0232, RV0452, RV0196, RV0491, RV2132, RV3124, RV1626, RV0748, RV1827, RV1904, RV0967, RV0386	150	205	2125	1.934959349593496	0.3539860367798495	0.11642650615952403	0.11539006841923154
GOTERM_BP_ALL	GO:0019219~regulation of nucleobase-containing compound metabolic process	28	9.24092409240924	6.547054214193191E-4	RV2601A, RV0081, RV1297, RV3334, RV0064A, RV2069, RV2642, RV3855, RV2865, RV0918, RV3911, RV2989, RV2506, RV0757, RV0678, RV0078, RV0232, RV0452, RV0196, RV0491, RV2132, RV3124, RV1626, RV0748, RV1827, RV1904, RV0967, RV0386	157	205	2228	1.938294236445549	0.38609511716189493	0.13012447984672376	0.12837784253334492
GOTERM_BP_5	GO:0006355~regulation of transcription, DNA-templated	27	8.91089108910891	6.611914212202554E-4	RV2601A, RV0081, RV1297, RV3334, RV0064A, RV2069, RV2642, RV3855, RV2865, RV0918, RV3911, RV2989, RV2506, RV0757, RV0678, RV0078, RV0232, RV0452, RV0196, RV0491, RV2132, RV3124, RV1626, RV0748, RV1904, RV0967, RV0386	126	195	1771	1.946153846153846	0.19555600081308366	0.09244249777302128	0.09216151753662911
GOTERM_BP_FAT	GO:0006355~regulation of transcription, DNA-templated	27	8.91089108910891	6.831028027202576E-4	RV2601A, RV0081, RV1297, RV3334, RV0064A, RV2069, RV2642, RV3855, RV2865, RV0918, RV3911, RV2989, RV2506, RV0757, RV0678, RV0078, RV0232, RV0452, RV0196, RV0491, RV2132, RV3124, RV1626, RV0748, RV1904, RV0967, RV0386	150	195	2125	1.9615384615384615	0.3690752096851607	0.11642650615952403	0.11539006841923154
GOTERM_BP_FAT	GO:1903506~regulation of nucleic acid-templated transcription	27	8.91089108910891	6.831028027202576E-4	RV2601A, RV0081, RV1297, RV3334, RV0064A, RV2069, RV2642, RV3855, RV2865, RV0918, RV3911, RV2989, RV2506, RV0757, RV0678, RV0078, RV0232, RV0452, RV0196, RV0491, RV2132, RV3124, RV1626, RV0748, RV1904, RV0967, RV0386	150	195	2125	1.9615384615384615	0.3690752096851607	0.11642650615952403	0.11539006841923154
GOTERM_BP_ALL	GO:1903506~regulation of nucleic acid-templated transcription	27	8.91089108910891	6.892010813148914E-4	RV2601A, RV0081, RV1297, RV3334, RV0064A, RV2069, RV2642, RV3855, RV2865, RV0918, RV3911, RV2989, RV2506, RV0757, RV0678, RV0078, RV0232, RV0452, RV0196, RV0491, RV2132, RV3124, RV1626, RV0748, RV1904, RV0967, RV0386	157	195	2228	1.9649191572758449	0.40168135975436614	0.13012447984672376	0.12837784253334492
GOTERM_BP_ALL	GO:0006355~regulation of transcription, DNA-templated	27	8.91089108910891	6.892010813148914E-4	RV2601A, RV0081, RV1297, RV3334, RV0064A, RV2069, RV2642, RV3855, RV2865, RV0918, RV3911, RV2989, RV2506, RV0757, RV0678, RV0078, RV0232, RV0452, RV0196, RV0491, RV2132, RV3124, RV1626, RV0748, RV1904, RV0967, RV0386	157	195	2228	1.9649191572758449	0.40168135975436614	0.13012447984672376	0.12837784253334492
GOTERM_BP_5	GO:2001141~regulation of RNA biosynthetic process	27	8.91089108910891	7.175119905893088E-4	RV2601A, RV0081, RV1297, RV3334, RV0064A, RV2069, RV2642, RV3855, RV2865, RV0918, RV3911, RV2989, RV2506, RV0757, RV0678, RV0078, RV0232, RV0452, RV0196, RV0491, RV2132, RV3124, RV1626, RV0748, RV1904, RV0967, RV0386	126	196	1771	1.9362244897959182	0.21033476294682296	0.09244249777302128	0.09216151753662911
GOTERM_BP_FAT	GO:2001141~regulation of RNA biosynthetic process	27	8.91089108910891	7.40594143135247E-4	RV2601A, RV0081, RV1297, RV3334, RV0064A, RV2069, RV2642, RV3855, RV2865, RV0918, RV3911, RV2989, RV2506, RV0757, RV0678, RV0078, RV0232, RV0452, RV0196, RV0491, RV2132, RV3124, RV1626, RV0748, RV1904, RV0967, RV0386	150	196	2125	1.9515306122448979	0.3930721640734751	0.11642650615952403	0.11539006841923154
GOTERM_BP_ALL	GO:2001141~regulation of RNA biosynthetic process	27	8.91089108910891	7.47041246825296E-4	RV2601A, RV0081, RV1297, RV3334, RV0064A, RV2069, RV2642, RV3855, RV2865, RV0918, RV3911, RV2989, RV2506, RV0757, RV0678, RV0078, RV0232, RV0452, RV0196, RV0491, RV2132, RV3124, RV1626, RV0748, RV1904, RV0967, RV0386	157	196	2228	1.9548940595346418	0.42693361497214555	0.13012447984672376	0.12837784253334492
