,R_INH,S_INH,R_EMB,S_EMB,R_RIF,S_RIF,R_PZA,S_PZA,R_Multi,S_Multi
0,ERR2516344,ERR2516182,ERR2516344,ERR2516182,ERR2516344,ERR2516325,ERR2516291,ERR2516327,ERR2516291,ERR2513494
1,ERR2516291,ERR2513494,ERR2516291,ERR2513494,ERR2516291,ERR2516219,ERR2516255,ERR2516325,ERR2516255,ERR2514614
2,ERR2516176,ERR2514614,ERR2516176,ERR2514614,ERR2516176,ERR2516190,ERR2516217,ERR2516330,ERR2516217,ERR2513918
3,ERR2516320,ERR2513918,ERR2516320,ERR2513918,ERR2516320,ERR2516182,ERR2516183,ERR2516271,ERR2516183,ERR2514870
4,ERR2516249,ERR2514870,ERR2516249,ERR2514870,ERR2516249,ERR2513494,ERR2516329,ERR2516208,ERR2516329,ERR2514914
5,ERR2516359,ERR2514914,ERR2516359,ERR2514914,ERR2516359,ERR2514614,ERR2516256,ERR2516219,ERR2516256,ERR2512632
6,ERR2516237,ERR2512632,ERR2516237,ERR2512632,ERR2516237,ERR2513918,ERR2516182,ERR2516266,ERR2516209,ERR2513684
7,ERR2516232,ERR2513684,ERR2516232,ERR2513684,ERR2516232,ERR2514870,ERR2516209,ERR2513494,ERR2516285,ERR2513909
8,ERR2516229,ERR2513909,ERR2516229,ERR2513909,ERR2516229,ERR2514914,ERR2516285,ERR2514614,ERR2516226,ERR2513079
9,ERR2516327,ERR2513079,ERR2516327,ERR2513079,ERR2516327,ERR2512632,ERR2516226,ERR2513918,ERR2513352,ERR2513945
10,ERR2516325,ERR2513945,ERR2516325,ERR2513945,ERR2516330,ERR2513684,ERR2513352,ERR2514870,ERR2199779,ERR2514099
11,ERR2516330,ERR2514099,ERR2516330,ERR2514099,ERR2516271,ERR2513909,ERR2199779,ERR2514914,ERR2199786,ERR2514251
12,ERR2516271,ERR2514251,ERR2516271,ERR2514251,ERR2516255,ERR2513079,ERR2199785,ERR2512632,ERR2516167,ERR2514589
13,ERR2516255,ERR2514988,ERR2516255,ERR2514988,ERR2516208,ERR2513945,ERR2199786,ERR2513684,ERR2516177,ERR2514009
14,ERR2516208,ERR2514589,ERR2516208,ERR2514589,ERR2516217,ERR2514099,ERR2516167,ERR2513909,ERR2041688,ERR2512935
15,ERR2516217,ERR2514009,ERR2516217,ERR2514009,ERR2516183,ERR2514251,ERR2516263,ERR2513079,ERR2041689,ERR2513802
16,ERR2516219,ERR2512935,ERR2516219,ERR2512935,ERR2516329,ERR2514988,ERR2516177,ERR2513945,ERR2516181,ERR2512736
17,ERR2516183,ERR2513802,ERR2516183,ERR2513802,ERR2516266,ERR2514589,ERR2516252,ERR2514099,ERR2516333,ERR2515076
18,ERR2516329,ERR2512736,ERR2516329,ERR2512736,ERR2516256,ERR2514009,ERR2514583,ERR2514251,ERR2516352,ERR2515046
19,ERR2516266,ERR2515076,ERR2516266,ERR2515076,ERR2516297,ERR2512935,ERR2512962,ERR2514589,ERR2516302,ERR2513228
20,ERR2516256,ERR2515046,ERR2516256,ERR2515046,ERR2516282,ERR2513802,ERR2513433,ERR2514009,ERR2516206,ERR2514587
21,ERR2516297,ERR2513228,ERR2516297,ERR2513228,ERR2516209,ERR2512736,ERR2041688,ERR2512935,ERR2513786,ERR2513920
22,ERR2516190,ERR2514587,ERR2516190,ERR2514021,ERR2516251,ERR2515076,ERR2041689,ERR2513802,ERR2512979,ERR2513805
23,ERR2516282,ERR2513920,ERR2516282,ERR2514587,ERR2516186,ERR2515046,ERR2516181,ERR2512736,ERR2516343,ERR2513002
24,ERR2516209,ERR2513805,ERR2516209,ERR2513920,ERR2516285,ERR2513228,ERR2516254,ERR2515076,ERR2199818,ERR2514824
25,ERR2514021,ERR2513002,ERR2516251,ERR2513805,ERR2516226,ERR2514021,ERR2516333,ERR2515046,ERR2516270,ERR2514158
26,ERR2514886,ERR2514824,ERR2516186,ERR2513002,ERR2516280,ERR2514587,ERR2516352,ERR2513228,ERR2516261,ERR2514432
27,ERR2514618,ERR2514158,ERR2516285,ERR2514824,ERR2513880,ERR2513920,ERR2516289,ERR2514021,ERR2516349,ERR2513854
