Rv1603	1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase(hisA)
COG_ONTOLOGY	120000007$Amino acid transport and metabolism,
GOTERM_BP_DIRECT	300000049$GO:0000105~histidine biosynthetic process,300000058$GO:0000162~tryptophan biosynthetic process,300007714$GO:0040007~growth,
GOTERM_CC_DIRECT	380000294$GO:0005737~cytoplasm,
GOTERM_MF_DIRECT	460000471$GO:0003949~1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity,460000963$GO:0004640~phosphoribosylanthranilate isomerase activity,
INTERPRO	530005144$IPR006062:Histidine biosynthesis,530008742$IPR010188:Bifunctional HisA/TrpF,530009491$IPR011060:Ribulose-phosphate binding barrel,530011680$IPR013785:Aldolase-type TIM barrel,530019488$IPR023016:Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase,
KEGG_PATHWAY	550041934$mtu00340:Histidine metabolism,550041941$mtu00400:Phenylalanine, tyrosine and tryptophan biosynthesis,550041998$mtu01100:Metabolic pathways,550041999$mtu01110:Biosynthesis of secondary metabolites,550042006$mtu01230:Biosynthesis of amino acids,
UP_KEYWORDS	870000010$3D-structure,870000059$Amino-acid biosynthesis,870000092$Aromatic amino acid biosynthesis,870000251$Complete proteome,870000288$Cytoplasm,870000480$Histidine biosynthesis,870000609$Isomerase,870000928$Reference proteome,870001112$Tryptophan biosynthesis,
UP_SEQ_FEATURE	880000109$active site:Proton acceptor,880000126$active site:Proton donor,880032191$chain:Phosphoribosyl isomerase A,

Rv1170	1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase(mshB)
GOTERM_BP_DIRECT	300003146$GO:0010125~mycothiol biosynthetic process,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,
